name,slug,type,status,area,address,phone,website,summary,airportAccess,gallery,city,facilityType,holes,par,reservationUrl,features
千代田カントリークラブ,chiyoda-country-club,golf_course,published,離島,〒906-0202 沖縄県宮古島市上野野原137-1,0980-76-2588,,18H Par63,飛行機約45分＋車約15分,,宮古島市,ミドルコース,18,63,,18H Par63
オーシャンリンクス宮古島,ocean-links-miyakojima,golf_course,published,離島,〒906-0507 沖縄県宮古島市城辺保良940-1,0980-77-8072,,18H Par72,飛行機約45分＋車約20分,,宮古島市,ロングコース,18,72,,18H Par72
松が原ゴルフクラブ,matsugahara-golf-club,golf_course,published,離島,〒906-0000 沖縄県宮古島市平良松原1180-1,0980-73-6011,,9H Par36 ミドルコース,飛行機約45分＋車約10分,,宮古島市,ミドルコース,9,36,,9H Par36 ミドルコース
サシバリンクス伊良部,sashiba-links-irabu,golf_course,published,離島,〒906-0501 沖縄県宮古島市伊良部字国仲659,0980-74-5555,,9H Par36,飛行機約45分＋車約25分,,宮古島市,ミドルコース,9,36,,9H Par36
小浜島カントリークラブ,kohamajima-country-club,golf_course,published,離島,〒907-1221 沖縄県八重山郡竹富町小浜東表2954,0980-84-6314,https://risonare-kohamajima.hoshino-resorts.com/,18H Par72 星野リゾート内 日本最南端・最西端,飛行機＋船 約2時間以上（石垣経由）,,竹富町,ロングコース,18,72,,18H Par72 星野リゾート内 日本最南端・最西端
マエサトゴルフコース,maesato-golf-course,golf_course,published,離島,〒907-0002 沖縄県石垣市真栄里354-1,0980-88-7111,https://www.anaintercontinental-ishigaki.jp/recreation/golf/,9〜10H Par27 全Par3 ANAインターコンチネンタル石垣リゾート内 ビジター利用可・ドレスコードなし,飛行機約55分＋車約10分,,石垣市,ショートコース,,27,,9〜10H Par27 全Par3 ANAインターコンチネンタル石垣リゾート内 ビジター利用可・ドレスコードなし
波之上ゴルフ練習場,facility-0eab77395d,outdoor_practice_range,営業確認済み,南部,沖縄県那覇市辻3-2-13,098-866-4218,https://www.naminouegolf.jp/,,那覇空港から車で約10分,,,屋外,,,,
豊見城ゴルフ練習場,facility-c7778dd95c,outdoor_practice_range,営業確認済み,南部,沖縄県豊見城市字高安415,098-850-5757,,,那覇空港から車で約15分,,,屋外,,,,
ABCゴルフガーデン,abc,outdoor_practice_range,営業確認済み,南部,沖縄県糸満市字阿波根1565-1,098-995-0555,,,那覇空港から車で約20分,,,屋外,,,,
KA.MI.FU Golf Range（旧大里ゴルフセンター）,ka-mi-fu-golf-range,outdoor_practice_range,営業確認済み,南部,沖縄県南城市大里字大里地内,098-944-1321,,,那覇空港から車で約30分,,,屋外,,,,
与那原ゴルフセンター,facility-097cff53ca,outdoor_practice_range,営業確認済み,南部,沖縄県島尻郡与那原町字板良敷1030,098-946-4100,,,那覇空港から車で約30分,,,屋外,,,,
マリンタウンゴルフ,facility-681d05a79c,outdoor_practice_range,営業確認済み,南部,沖縄県島尻郡与那原町字与那原3309,098-945-1040,https://www.mtg-okinawa.jp/,,那覇空港から車で約25分,,,屋外,,,,
西原グリーンセンター,facility-d3667d9870,outdoor_practice_range,営業確認済み,中部,沖縄県中頭郡西原町字内間546,098-945-5456,,,那覇空港から車で約20分,,,屋外,,,,
森川ゴルフガーデン,facility-404e714bae,outdoor_practice_range,営業確認済み,中部,沖縄県中頭郡西原町字森川162,098-945-5130,,,那覇空港から車で約25分,,,屋外,,,,
北谷ゴルフ練習場（北谷スポーツセンター）,facility-aa81522d94,outdoor_practice_range,営業確認済み,中部,沖縄県中頭郡北谷町字桑江432,098-936-1294,,,那覇空港から車で約30分,,,屋外,,,,
コザゴルフ練習場,facility-1931e3beb0,outdoor_practice_range,営業確認済み,中部,沖縄県沖縄市胡屋6-8-9,098-933-7183,,,那覇空港から車で約40分,,,屋外,,,,
もろみゴルフレンジ,facility-12814a3371,outdoor_practice_range,営業確認済み,中部,沖縄県沖縄市諸見里2-21-1,098-933-6388,,,那覇空港から車で約40分,,,屋外,,,,
松本ゴルフセンター,facility-24ce1d54f4,outdoor_practice_range,営業確認済み,中部,沖縄県沖縄市松本5-8-1,098-934-2859,https://www.matsumoto-golf.com/,,那覇空港から車で約40分,,,屋外,,,,
津嘉山ゴルフレンジ,facility-656fd12a3a,outdoor_practice_range,営業確認済み,中部,沖縄県沖縄市古謝1219-1,098-934-3434,,,那覇空港から車で約40分,,,屋外,,,,
和合ヒルズゴルフガーデン,facility-9b21dce5c4,outdoor_practice_range,営業確認済み,中部,沖縄県うるま市石川東恩納1180,098-972-4004,,,那覇空港から車で約45分,,,屋外,,,,
東海ゴルフ練習場,facility-f3c63fa9ef,outdoor_practice_range,営業確認済み,北部,沖縄県国頭郡金武町字伊芸1292-2,098-968-2888,https://www.instagram.com/toukai_golf/,,那覇空港から車で約60分,,,屋外,,,,
大北ゴルフ練習場,facility-ba78ab0097,outdoor_practice_range,営業確認済み,北部,沖縄県名護市大北4丁目8-29,0980-54-3000,,,那覇空港から車で約75分,,,屋外,,,,
みやこゴルフレンジ,facility-40a12ea553,outdoor_practice_range,営業確認済み,離島,沖縄県宮古島市平良西仲宗根649-1,0980-73-3715,,,宮古空港から車で約10分,,,屋外,,,,
八重山ゴルフレンジ,facility-8266122f14,outdoor_practice_range,営業確認済み,離島,沖縄県石垣市字真栄里123,0980-82-7766,,,石垣空港から車で約10分,,,屋外,,,,
マイゴルフレーン 那覇店,facility-c140e9506f,indoor_practice_range,営業確認済み,南部,沖縄県那覇市宇栄原1009-2,,https://www.mygol.jp/shop/naha/,,那覇空港から車で約10分,,,屋内,,,,
マイゴルフレーン 赤嶺店,facility-1ca73f3038,indoor_practice_range,営業確認済み,南部,沖縄県那覇市赤嶺（赤嶺駅徒歩約5分）,,https://mygol.jp/lane/shop/akamine.php,,那覇空港から車で約6分,,,屋内,,,,
マイゴルフレーン 糸満店,facility-a7f2bb4a95,indoor_practice_range,営業確認済み,南部,沖縄県糸満市照屋1271-3 金福ビル1F,,https://www.mygol.jp/,,那覇空港から車で約20分,,,屋内,,,,
チキンゴルフ 沖縄那覇店,facility-c541d9c649,indoor_practice_range,営業確認済み,南部,沖縄県那覇市銘苅1-19-1 アクロスプラザ古島駅前2F,098-988-8476,https://chicken-golf.com/schools/okinawa-naha/,,那覇空港から車で約15分,,,屋内,,,,
Indoor Golf 365,indoor-golf-365,indoor_practice_range,営業確認済み,南部,沖縄県那覇市上之屋1丁目20-9 富士家オーシャンビル2F,0120-426-847,https://golf365.jp/,,那覇空港から車で約10分,,,屋内,,,,
Golfzon ちゅらかん,golfzon,indoor_practice_range,営業確認済み,南部,沖縄県那覇市松山2-9-6 朝日ビル2F,098-943-2920,https://churakan.com/,,那覇空港から車で約15分,,,屋内,,,,
ハイサイインドアゴルフ（那覇泊店）,facility-31d404bea7,indoor_practice_range,営業確認済み,南部,沖縄県那覇市泊3-5-5 ハイサイ泊ビル2階,070-8482-2275,https://haisai-golf.jp/,,那覇空港から車で約15分,,,屋内,,,,
GOLFIX（ゴルフィックス）おもろまち店,golfix,indoor_practice_range,営業確認済み,南部,沖縄県那覇市おもろまち4丁目6-20,090-5090-0302,https://golfix-fc.jp/,,那覇空港から車で約20分,,,屋内,,,,
うるくラボ,facility-7656a72d65,indoor_practice_range,営業確認済み,南部,沖縄県那覇市小禄（小禄駅徒歩11分）,,,,那覇空港から車で約10分,,,屋内,,,,
イノセントゴルフスタジオ 那覇本店,facility-d20c6c96ac,indoor_practice_range,営業確認済み,南部,沖縄県那覇市（ノボテル沖縄那覇内）,080-6290-9312,https://studio.rsvsys.jp/,,那覇空港から車で約15分,,,屋内,,,,
X GOLF RANGE 糸満西崎店,x-golf-range,indoor_practice_range,営業確認済み,南部,沖縄県糸満市西崎,,https://x-golfrange.com/itoman/,,那覇空港から車で約20分,,,屋内,,,,
eXゴルフラボ（エックスゴルフラボ）,ex,indoor_practice_range,営業確認済み,南部,沖縄県那覇市（おもろまち駅徒歩12分）,,,,那覇空港から車で約20分,,,屋内,,,,
マイゴルフレーン うるま店,facility-2a9135bd72,indoor_practice_range,営業確認済み,中部,沖縄県うるま市江洲507 うるまシティプラザ2F,,https://www.mygol.jp/,,那覇空港から車で約40分,,,屋内,,,,
みんなのゴルフ練習場,facility-f9ab34ec8d,indoor_practice_range,営業確認済み,中部,沖縄県浦添市宮城5-1-1 タウンプラザかねひで内間市場2F,098-894-8874,,,那覇空港から車で約20分,,,屋内,,,,
ゴルフラウンジサンシャイン 牧港店,facility-825ee8b0a0,indoor_practice_range,営業確認済み,中部,沖縄県浦添市牧港（牧港エリア）,,https://golfloungesunshine.com/,,那覇空港から車で約20分,,,屋内,,,,
ゴルフラウンジサンシャイン 具志川店,facility-a62c719e2b,indoor_practice_range,営業確認済み,中部,沖縄県うるま市（具志川エリア）,,https://golfloungesunshine.com/,,那覇空港から車で約45分,,,屋内,,,,
GOLFIX（ゴルフィックス）本店,golfix-2,indoor_practice_range,営業確認済み,中部,沖縄県浦添市（浦添市内）,,https://www.golfix.jp/,,那覇空港から車で約20分,,,屋内,,,,
北谷インドアゴルフスタジオ,facility-0a977db43d,indoor_practice_range,営業確認済み,中部,沖縄県中頭郡北谷町（北谷スポーツセンター内）,,https://csi.okinawa/,,那覇空港から車で約30分,,,屋内,,,,
ハイサイエンジョイゴルフ（沖縄市店）,facility-da5a0fbf80,indoor_practice_range,営業確認済み,中部,沖縄県沖縄市知花6丁目40-12 知花プラザA棟202,,https://haisai-golf.jp/,,那覇空港から車で約40分,,,屋内,,,,
FOGO GYM & GOLF,fogo-gym-golf,indoor_practice_range,営業確認済み,中部,沖縄県中頭郡北谷町美浜8-10,,https://fogo-gym.com/,,那覇空港から車で約30分,,,屋内,,,,
パームゴルフ ホテルカリフォルニア店,facility-7058309b4f,indoor_practice_range,営業確認済み,離島,沖縄県宮古島市平良（ホテルカリフォルニア宮古島リゾート内）,,https://www.palm-golf.com/,,宮古空港から車で約8分,,,屋内,,,,
