No.,掲載状態,ゴルフ場名,slug,エリア,市町村,種類,ホール数,Par,住所,電話番号,公式サイトURL,予約URL,那覇空港からの所要時間（目安）,特徴,初心者向け,観光客向け,練習場あり,パートナー候補,最終確認日,情報ソース,メモ
24,未確認,美らオーチャードゴルフ倶楽部,chura-orchard-golf-club,北部,恩納村,ロングコース,18,72,〒904-0402 沖縄県国頭郡恩納村字安富祖1577,098-967-8711,https://www.jgmgroup.co.jp/churaorchard/,,車で約65〜70分,18H Par72 大京オープン17回開催,,,,,,https://www.jgmgroup.co.jp/churaorchard/,
25,未確認,宜野座カントリークラブ,ginoza-country-club,北部,宜野座村,ロングコース,18,72,〒904-1301 沖縄県国頭郡宜野座村字松田2824-264,098-983-2200,https://www.ginozacc.com/,,車で約55分,18H Par72,,,,,,https://www.ginozacc.com/,
26,未確認,かねひで喜瀬カントリークラブ,kise-country-club,北部,名護市,ロングコース,18,72,〒905-0026 沖縄県名護市字喜瀬1107-1,0980-53-6100,https://www.kise-cc.jp/,,車で約80〜90分,18H Par72,,,,,,https://www.kise-cc.jp/,
27,未確認,カヌチャリゾート カヌチャゴルフコース,kanucha-golf-course,北部,名護市,ロングコース,18,72,〒905-0225 沖縄県名護市安部156-2,0980-55-8888,https://www.kanucha.jp/,,車で約90分,18H Par72,,TRUE,,,,https://www.kanucha.jp/,
28,未確認,ベルビーチゴルフクラブ,belle-beach-golf-club,北部,本部町,ロングコース,18,72,〒905-0225 沖縄県国頭郡本部町字崎本部5151,0980-47-3111,http://www.belle-co.com/belbeach/,,車で約90分,18H Par72 宮里3兄弟が練習したコース,,,TRUE,,,http://www.belle-co.com/belbeach/,
29,未確認,本部グリーンパークゴルフ場,motobu-green-park-golf-course,北部,本部町,ミドルコース,18,57,〒905-0213 沖縄県国頭郡本部町字古島404,0980-48-3211,,,車で約90分,18H Par57,TRUE,,,,,,
30,未確認,金武シーサイドゴルフクラブ,kin-seaside-golf-club,北部,金武町,ショートコース,9,,〒904-1202 沖縄県国頭郡金武町字伊芸1996-3,098-968-8455,,,車で約55分,9H ショートコース,TRUE,,,,,,
31,未確認,エナジック瀬嵩カントリークラブ,enagic-sedake-country-club,北部,名護市,ロングコース,18,73,〒905-2262 沖縄県名護市瀬嵩463-3,0980-55-8368,https://www.enagicsedakecc.com/,,車で約90〜100分,18H Par73 2025年8月より一般開放,,,,,,https://www.enagicsedakecc.com/,
32,未確認,伊江島カントリークラブ,iejima-country-club,離島（伊江島）,伊江村,ミドルコース,18,58,〒905-0502 沖縄県国頭郡伊江村字東江前3682-1,0980-49-2028,,,本部港フェリー約30分＋車 計約120分以上,18H Par58（第1日曜・隔週土曜はPar72のロング形式）,TRUE,TRUE,,,,,
33,未確認,エメラルドコーストゴルフリンクス,emerald-coast-golf-links,離島（宮古島）,宮古島市,ロングコース,18,72,〒906-0305 沖縄県宮古島市下地字与那覇1591-1,0980-76-3232,https://www.emeraldcoast.jp/,,飛行機約45分＋車約15分,18H Par72,,TRUE,,,,https://www.emeraldcoast.jp/,
34,未確認,シギラベイカントリークラブ,shigira-bay-country-club,離島（宮古島）,宮古島市,ロングコース,18,72,〒906-0202 沖縄県宮古島市上野字新里1264,0980-76-3940,https://sigira.com/sports/golf/,,飛行機約45分＋車約15分,18H Par72,,TRUE,,,,https://sigira.com/sports/golf/,
35,未確認,千代田カントリークラブ,chiyoda-country-club,離島（宮古島）,宮古島市,ミドルコース,18,63,〒906-0202 沖縄県宮古島市上野野原137-1,0980-76-2588,,,飛行機約45分＋車約15分,18H Par63,TRUE,TRUE,,,,,
36,未確認,オーシャンリンクス宮古島,ocean-links-miyakojima,離島（宮古島）,宮古島市,ロングコース,18,72,〒906-0507 沖縄県宮古島市城辺保良940-1,0980-77-8072,,,飛行機約45分＋車約20分,18H Par72,,TRUE,,,,,
37,未確認,松が原ゴルフクラブ,matsugahara-golf-club,離島（宮古島）,宮古島市,ミドルコース,9,36,〒906-0000 沖縄県宮古島市平良松原1180-1,0980-73-6011,,,飛行機約45分＋車約10分,9H Par36 ミドルコース,TRUE,TRUE,,,,,
38,未確認,サシバリンクス伊良部,sashiba-links-irabu,離島（宮古島・伊良部島）,宮古島市,ミドルコース,9,36,〒906-0501 沖縄県宮古島市伊良部字国仲659,0980-74-5555,,,飛行機約45分＋車約25分,9H Par36,TRUE,TRUE,,,,,
39,未確認,小浜島カントリークラブ,kohamajima-country-club,離島（小浜島）,竹富町,ロングコース,18,72,〒907-1221 沖縄県八重山郡竹富町小浜東表2954,0980-84-6314,https://risonare-kohamajima.hoshino-resorts.com/,,飛行機＋船 約2時間以上（石垣経由）,18H Par72 星野リゾート内 日本最南端・最西端,,TRUE,,,,https://risonare-kohamajima.hoshino-resorts.com/,
40,未確認,マエサトゴルフコース,maesato-golf-course,離島（石垣島）,石垣市,ショートコース,9〜10,27,〒907-0002 沖縄県石垣市真栄里354-1,0980-88-7111,https://www.anaintercontinental-ishigaki.jp/recreation/golf/,,飛行機約55分＋車約10分,9〜10H Par27 全Par3 ANAインターコンチネンタル石垣リゾート内 ビジター利用可・ドレスコードなし,TRUE,TRUE,,,,https://www.anaintercontinental-ishigaki.jp/recreation/golf/,
